INDEX,YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW,VV,Cl,A,Cm,A,Ch,A,Dl,Dm,Dh,TC,h,c,a,Ht,RF,EVP,,
43003,2010,1,0,1,1008.4,1010.1,21.2,17.4,14.8,67,16.8,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,2,1009.5,1011.2,22,19.4,17.8,77,20.4,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,3,1011.5,1013.2,24,21.4,20,78,23.4,0,0,  ,95,5,1,0,0,0,0,9,0,0,1,5,6,561,6,1,20, ,   
43003,2010,1,0,4,1012,1013.7,22.4,18.6,16.1,68,18.3,32,6,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,5,1009.3,1011,19.4,18.4,17.8,90,20.4,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,6,1008.1,1009.8,21,18.4,16.7,77,19,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,7,1007.7,1009.4,23.8,18,14,54,16,5,12,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,8,1008.7,1011.4,23,18.6,15.7,64,17.8,0,0,  ,95,0,0,3,3,0,0,0,9,0,3,9,3,933,3,3,60, ,   
43003,2010,1,0,9,1009.5,1011.2,18.4,16.6,15.4,82,17.5,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,10,1009.2,1010.9,18.4,16.6,15.4,82,17.5,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,11,1009.8,1011.5,20.8,18.6,17.2,80,19.6,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,12,1011,1012.7,25,23,22,84,26.4,32,6,  ,95,5,2,3,4,0,0,9,9,0,6,5,6,562,6,2,20, ,   
43003,2010,1,0,13,1013.4,1015.1,22.2,19,17,72,19.4,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,14,1014.2,1015.9,16.2,13,10.2,67,12.4,0,0,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
43003,2010,1,0,15,1013.8,1015.5,20.8,17.4,15.1,70,17.1,36,2,  ,95,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99, ,   
